Year,Provider No,Provider Name,Program No,Program Name,County,Current Community District,Street Address,City,Zip Code,Program Type,Service Type,Current Status,Average Daily Enrollment
2010,16350,"T.R.I. Center, Inc.",6015,"T.R.I. Center, Inc. OP",New York,105,1369 Broadway,New York,10018,Outpatient,Outpatient Clinic,Operational,111
2015,16350,"T.R.I. Center, Inc.",6015,"T.R.I. Center, Inc. OP",New York,105,1369 Broadway,New York,10018,Outpatient,Outpatient Clinic,Operational,85
2019,16350,"T.R.I. Center, Inc.",6015,"T.R.I. Center, Inc. OP",New York,105,1369 Broadway,New York,10018,Outpatient,Outpatient Clinic,Operational,110
2010,16350,"T.R.I. Center, Inc.",6134,"T.R.I. Center, Inc. OP 1",Bronx,205,2488 Grand Concourse,Bronx,10458,Outpatient,Outpatient Clinic,Operational,121
2015,16350,"T.R.I. Center, Inc.",6134,"T.R.I. Center, Inc. OP 1",Bronx,205,2488 Grand Concourse,Bronx,10458,Outpatient,Outpatient Clinic,Operational,110
2019,16350,"T.R.I. Center, Inc.",6134,"T.R.I. Center, Inc. OP 1",Bronx,205,2488 Grand Concourse,Bronx,10458,Outpatient,Outpatient Clinic,Operational,521
2010,16350,"T.R.I. Center, Inc.",6402,"T.R.I. Center, Inc. OP 2",Kings,302,175 Remsen St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,99
2015,16350,"T.R.I. Center, Inc.",6402,"T.R.I. Center, Inc. OP 2",Kings,302,175 Remsen St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,69
2019,16350,"T.R.I. Center, Inc.",6402,"T.R.I. Center, Inc. OP 2",Kings,302,175 Remsen St,Brooklyn,11201,Outpatient,Outpatient Clinic,Operational,85
2010,16350,"T.R.I. Center, Inc.",51959,"T.R.I. Center, Inc.  OP R",New York,105,1369 Broadway,New York,10018,Outpatient,Outpatient Rehabilitation,Operational,4
2015,16350,"T.R.I. Center, Inc.",51959,"T.R.I. Center, Inc.  OP R",New York,105,1369 Broadway,New York,10018,Outpatient,Outpatient Rehabilitation,Operational,1
2019,16350,"T.R.I. Center, Inc.",51959,"T.R.I. Center, Inc.  OP R",New York,105,1369 Broadway,New York,10018,Outpatient,Outpatient Rehabilitation,Operational,0
2010,16640,Inter‐Care LTD.,51154,Inter‐Care LTD. OP,New York,105,51 E 25th St,New York,10010,Outpatient,Outpatient Clinic,Operational,158
2015,16640,Inter‐Care LTD.,51154,Inter‐Care LTD. OP,New York,105,51 E 25th St,New York,10010,Outpatient,Outpatient Clinic,Operational,155
2019,16640,Inter‐Care LTD.,51154,Inter‐Care LTD. OP,New York,105,51 E 25th St,New York,10010,Outpatient,Outpatient Clinic,Operational,188
"",16640,Inter‐Care LTD.,52935,Inter‐Care LTD. MSW OP,New York,105,51 E 25th St,New York,,Crisis,Med Sup Withdrawal‐Outpatient,Operational,
2010,16670,"HANAC, Inc",6118,"HANAC, Inc OP",Queens,401,31‐14 30th Ave,Astoria,11102,Outpatient,Outpatient Clinic,Operational,50
2015,16670,"HANAC, Inc",6118,"HANAC, Inc OP",Queens,401,31‐14 30th Ave,Astoria,11102,Outpatient,Outpatient Clinic,Operational,40
2019,16670,"HANAC, Inc",6118,"HANAC, Inc OP",Queens,401,31‐14 30th Ave,Astoria,11102,Outpatient,Outpatient Clinic,Operational,41
2010,16810,"Daytop Village, Inc.",1341,Daytop Village ‐ Staten Island OP,Richmond,501,1915 Forest Avenue,Staten Island,10303,Outpatient,Outpatient Rehabilitation,Closed,4
2010,16810,"Daytop Village, Inc.",1343,Brooklyn Integrated OP Program,Kings,302,401 State Street,Brooklyn,11217,Outpatient,Outpatient Clinic,Closed,134
2010,16810,"Daytop Village, Inc.",1875,Daytop Village ‐ Queens Adol OP,Queens,412,147‐32 Jamaica Avenue,Jamaica,11435,Outpatient,Outpatient Rehabilitation,Closed,12
2010,16810,"Daytop Village, Inc.",3557,Daytop Village ‐ Adult Re Entry IR 2,Queens,414,316 Beach 65th Street,Far Rockaway,11692,Residential,Intensive Residential,Closed,174
2010,16810,"Daytop Village, Inc.",7058,Daytop Village ‐ FR IR,Queens,414,316 Beach 65th Street,Far Rockaway,11692,Residential,Intensive Residential,Closed,44
2010,16810,"Daytop Village, Inc.",7070,Manhattan Integrated OP,New York,105,500 Eighth Avenue ‐ 3rd Flr.,New York,10018,Outpatient,Outpatient Clinic,Closed,228
2015,16810,"Daytop Village, Inc.",7070,Manhattan Integrated OP,New York,105,500 Eighth Avenue ‐ 3rd Flr.,New York,10018,Outpatient,Outpatient Clinic,Closed,123
2010,16810,"Daytop Village, Inc.",7071,Bronx Integrated OP,Bronx,210,2614‐2618 Halperin Avenue,Bronx,10461,Outpatient,Outpatient Clinic,Closed,198
2015,16810,"Daytop Village, Inc.",7071,Bronx Integrated OP,Bronx,210,2614‐2618 Halperin Avenue,Bronx,10461,Outpatient,Outpatient Clinic,Closed,82
2010,16810,"Daytop Village, Inc.",7072,Staten Island Integrated OP,Richmond,501,1915 Forest Avenue,Staten Island,10303,Outpatient,Outpatient Clinic,Closed,71
2015,16810,"Daytop Village, Inc.",7072,Staten Island Integrated OP,Richmond,501,1915 Forest Avenue,Staten Island,10303,Outpatient,Outpatient Clinic,Closed,60
2010,16810,"Daytop Village, Inc.",7083,Queens Integrated OP,Queens,412,147‐32 Jamaica Avenue,Jamaica,11435,Outpatient,Outpatient Clinic,Closed,115
2015,16810,"Daytop Village, Inc.",7083,Queens Integrated OP,Queens,412,147‐32 Jamaica Avenue,Jamaica,11435,Outpatient,Outpatient Clinic,Closed,7
2010,16810,"Daytop Village, Inc.",7085,Daytop Village ‐ Bklyn Adol OP,Kings,302,401 State Street,Brooklyn,11217,Outpatient,Outpatient Rehabilitation,Closed,6
2010,16810,"Daytop Village, Inc.",7156,Daytop Village Man ‐ Re Entry,New York,105,54 W. 40th Street ‐ 1st/2nd/11th Flrs,New York,10018,Residential,Intensive Residential,Closed,32
2010,16820,"Phoenix Houses of New York, Inc.",2955,Phoenix House LIC Queens IR,Queens,401,34‐25 Vernon Blvd,Long Island City,11106,Residential,Intensive Residential,Closed,222
2015,16820,"Phoenix Houses of New York, Inc.",2955,Phoenix House LIC Queens IR,Queens,401,34‐25 Vernon Blvd,Long Island City,11106,Residential,Intensive Residential,Closed,131
2010,16820,"Phoenix Houses of New York, Inc.",3971,Phoenix Houses/NY IR,Bronx,206,480 East 185th Street,Bronx,10458,Residential,Intensive Residential,Closed,96
2015,16820,"Phoenix Houses of New York, Inc.",3971,Phoenix Houses/NY IR,Bronx,206,480 East 185th Street,Bronx,10458,Residential,Intensive Residential,Closed,57
2010,16820,"Phoenix Houses of New York, Inc.",7144,Phoenix House Career Academy IR,Kings,302,42‐50 Jay St,Brooklyn,11201,Residential,Intensive Residential,Closed,225
2015,16820,"Phoenix Houses of New York, Inc.",7144,Phoenix House Career Academy IR,Kings,302,42‐50 Jay St,Brooklyn,11201,Residential,Intensive Residential,Closed,168
2010,16820,"Phoenix Houses of New York, Inc.",52030,Phoenix House Riverside CR,New York,107,164 W 74th St,New York,10023,Residential,Community Residential,Closed,52
2015,16820,"Phoenix Houses of New York, Inc.",52030,Phoenix House Riverside CR,New York,107,164 W 74th St,New York,10023,Residential,Community Residential,Closed,39
2010,16820,"Phoenix Houses of New York, Inc.",52070,Prospect Place CR,Kings,308,174 Prospect Pl,Brooklyn,11238,Residential,Community Residential,Closed,89
2015,16820,"Phoenix Houses of New York, Inc.",52070,Prospect Place CR,Kings,308,174 Prospect Pl,Brooklyn,11238,Residential,Community Residential,Closed,77
2015,16820,"Phoenix Houses of New York, Inc.",52605,"Phoenix Houses of New York, Inc MSW‐OP",Queens,401,34‐11 Vernon Blvd,Long Island City,11106,Crisis,Med Sup Withdrawal‐Outpatient,Closed,4
2015,16820,"Phoenix Houses of New York, Inc.",52878,IMPACT Adolescent Program OP,New York,107,164 W 74th St,New York,10023,Outpatient,Outpatient Clinic,Closed,2
2015,16820,"Phoenix Houses of New York, Inc.",52879,Phoenix House Jack Aaron Center OP,New York,107,164 W 74th St,New York,10023,Outpatient,Outpatient Clinic,Closed,145
2010,16890,"Samaritan Daytop Village, Inc.",393,Samaritan Daytop Village Inc M‐IR,Queens,409,130‐20 89th Rd,Richmond Hill,11418,Opioid Treatment Program,Intensive Residential,Closeout,84
2015,16890,"Samaritan Daytop Village, Inc.",393,Samaritan Daytop Village Inc M‐IR,Queens,409,130‐20 89th Rd,Richmond Hill,11418,Opioid Treatment Program,Intensive Residential,Closeout,99
2019,16890,"Samaritan Daytop Village, Inc.",393,Samaritan Daytop Village Inc M‐IR,Queens,409,130‐20 89th Rd,Richmond Hill,11418,Opioid Treatment Program,Intensive Residential,Closeout,116
2010,16890,"Samaritan Daytop Village, Inc.",1814,"Samaritan Daytop Village, Inc. IR 1",Queens,412,88‐83 Van Wyck Expy,Jamaica,11435,Residential,Intensive Residential,Closed,120
2015,16890,"Samaritan Daytop Village, Inc.",1814,"Samaritan Daytop Village, Inc. IR 1",Queens,412,88‐83 Van Wyck Expy,Jamaica,11435,Residential,Intensive Residential,Closed,126
2010,16890,"Samaritan Daytop Village, Inc.",3162,"Samaritan Daytop Village, Inc IR  2",Bronx,204,1381 Dr Martin L King Jr Blvd.,Bronx,10452,Residential,Intensive Residential,Operational,143
2015,16890,"Samaritan Daytop Village, Inc.",3162,"Samaritan Daytop Village, Inc IR  2",Bronx,204,1381 Dr Martin L King Jr Blvd.,Bronx,10452,Residential,Intensive Residential,Operational,140
2019,16890,"Samaritan Daytop Village, Inc.",3162,"Samaritan Daytop Village, Inc IR  2",Bronx,204,1381 Dr Martin L King Jr Blvd.,Bronx,10452,Residential,Intensive Residential,Operational,89
2010,16890,"Samaritan Daytop Village, Inc.",5931,Samaritan Village ‐ CD Int Res Rehab,New York,106,225 East 53rd Street,New York,10022,Residential,Intensive Residential,Closed,89
2010,16890,"Samaritan Daytop Village, Inc.",6595,"Samaritan Daytop Village, Inc. OP",Queens,412,144‐10 Jamaica Ave,Jamaica,11435,Outpatient,Outpatient Clinic,Operational,306
2015,16890,"Samaritan Daytop Village, Inc.",6595,"Samaritan Daytop Village, Inc. OP",Queens,412,144‐10 Jamaica Ave,Jamaica,11435,Outpatient,Outpatient Clinic,Operational,176
2019,16890,"Samaritan Daytop Village, Inc.",6595,"Samaritan Daytop Village, Inc. OP",Queens,412,144‐10 Jamaica Ave,Jamaica,11435,Outpatient,Outpatient Clinic,Operational,165
2010,16890,"Samaritan Daytop Village, Inc.",6974,"Samaritan Daytop Village, Inc. IR 3",New York,104,327 W 43rd St,New York,10036,Residential,Intensive Residential,Operational,42
2015,16890,"Samaritan Daytop Village, Inc.",6974,"Samaritan Daytop Village, Inc. IR 3",New York,104,327 W 43rd St,New York,10036,Residential,Intensive Residential,Operational,42
2019,16890,"Samaritan Daytop Village, Inc.",6974,"Samaritan Daytop Village, Inc. IR 3",New York,104,327 W 43rd St,New York,10036,Residential,Intensive Residential,Operational,44
2010,16890,"Samaritan Daytop Village, Inc.",7388,Samaritan DaytopVill.‐Intake/Assess IR,Queens,412,88‐83 Van Wyck Expy,Jamaica,11435,Residential,Intensive Residential,Operational,25
2015,16890,"Samaritan Daytop Village, Inc.",7388,Samaritan DaytopVill.‐Intake/Assess IR,Queens,412,88‐83 Van Wyck Expy,Jamaica,11435,Residential,Intensive Residential,Operational,23
2019,16890,"Samaritan Daytop Village, Inc.",7388,Samaritan DaytopVill.‐Intake/Assess IR,Queens,412,88‐83 Van Wyck Expy,Jamaica,11435,Residential,Intensive Residential,Operational,12
2010,16890,"Samaritan Daytop Village, Inc.",52067,Richmond Hill Veterans Program IR,Queens,409,130‐15 89th Rd,Richmond Hill,11418,Residential,Intensive Residential,Operational,41
2015,16890,"Samaritan Daytop Village, Inc.",52067,Richmond Hill Veterans Program IR,Queens,409,130‐15 89th Rd,Richmond Hill,11418,Residential,Intensive Residential,Operational,42
2019,16890,"Samaritan Daytop Village, Inc.",52067,Richmond Hill Veterans Program IR,Queens,409,130‐15 89th Rd,Richmond Hill,11418,Residential,Intensive Residential,Operational,45
2019,16890,"Samaritan Daytop Village, Inc.",52532,"Samaritan Daytop Village, Inc. OTP",Queens,409,130‐20 89th Rd,Richmond Hill,11418,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,22
2015,16890,"Samaritan Daytop Village, Inc.",52722,"Samaritan Daytop Village, Inc. CR",New York,107,68 W 106th St,New York,10025,Residential,Community Residential,Operational,28
2019,16890,"Samaritan Daytop Village, Inc.",52722,"Samaritan Daytop Village, Inc. CR",New York,107,68 W 106th St,New York,10025,Residential,Community Residential,Operational,33
2015,16890,"Samaritan Daytop Village, Inc.",52723,"Samaritan Daytop Village, Inc. IR 4",New York,107,119 W 106th St,New York,10025,Residential,Intensive Residential,Operational,27
2019,16890,"Samaritan Daytop Village, Inc.",52723,"Samaritan Daytop Village, Inc. IR 4",New York,107,119 W 106th St,New York,10025,Residential,Intensive Residential,Operational,29
2015,16890,"Samaritan Daytop Village, Inc.",52724,Samaritan Daytop Village/Harlem OP 1,New York,110,"2090 Adam Clayton Powell, Jr Blvd",New York,10027,Outpatient,Outpatient Clinic,Operational,129
2019,16890,"Samaritan Daytop Village, Inc.",52724,Samaritan Daytop Village/Harlem OP 1,New York,110,"2090 Adam Clayton Powell, Jr Blvd",New York,10027,Outpatient,Outpatient Clinic,Operational,213
2015,16890,"Samaritan Daytop Village, Inc.",52769,Bronx Outreach Center OP,Bronx,211,900 Arnow Ave,Bronx,10469,Outpatient,Outpatient Clinic,Operational,81
2019,16890,"Samaritan Daytop Village, Inc.",52769,Bronx Outreach Center OP,Bronx,211,900 Arnow Ave,Bronx,10469,Outpatient,Outpatient Clinic,Operational,125
2015,16890,"Samaritan Daytop Village, Inc.",52771,Staten Island Outreach Center OP,Richmond,501,1915 Forest Ave,Staten Island,10303,Outpatient,Outpatient Clinic,Operational,67
2019,16890,"Samaritan Daytop Village, Inc.",52771,Staten Island Outreach Center OP,Richmond,501,1915 Forest Ave,Staten Island,10303,Outpatient,Outpatient Clinic,Operational,68
2015,16890,"Samaritan Daytop Village, Inc.",52772,"Samaritan Daytop Village, Inc. OP 2",New York,105,500 8th Ave,New York,10018,Outpatient,Outpatient Clinic,Closed,122
2015,16890,"Samaritan Daytop Village, Inc.",52882,"Samaritan Daytop Village, Inc. OTP 1",Bronx,201,477‐481 Willis Ave,Bronx,10455,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,844
2019,16890,"Samaritan Daytop Village, Inc.",52882,"Samaritan Daytop Village, Inc. OTP 1",Bronx,201,477‐481 Willis Ave,Bronx,10455,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,841
2015,16890,"Samaritan Daytop Village, Inc.",52883,"Samaritan Daytop Village, Inc. OTP 2",Bronx,201,250 Grand Concourse,Bronx,10451,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,770
2019,16890,"Samaritan Daytop Village, Inc.",52883,"Samaritan Daytop Village, Inc. OTP 2",Bronx,201,250 Grand Concourse,Bronx,10451,Opioid Treatment Program,Opioid Outpatient Treatment,Operational,694
2015,16890,"Samaritan Daytop Village, Inc.",52894,Freedom House SL 12,Bronx,201,2640 3rd Ave,Bronx,10454,Residential,Supportive Living,Closed,10
2015,16890,"Samaritan Daytop Village, Inc.",52895,Freedom House SL 16,New York,111,58 E 130th St,New York,10037,Residential,Supportive Living,Closed,13
2015,16890,"Samaritan Daytop Village, Inc.",52897,Independence OP,Bronx,201,2776‐2778 3rd Ave,Bronx,10455,Outpatient,Outpatient Clinic,Operational,107
2019,16890,"Samaritan Daytop Village, Inc.",52897,Independence OP,Bronx,201,2776‐2778 3rd Ave,Bronx,10455,Outpatient,Outpatient Clinic,Operational,172
2015,16890,"Samaritan Daytop Village, Inc.",52905,Children and Families Together OP,Bronx,201,528‐30 Morris Ave,Bronx,10455,Outpatient,Outpatient Clinic,Closed,73
2015,16890,"Samaritan Daytop Village, Inc.",52907,Freedom House SL 23,Bronx,201,413 E 152nd St,Bronx,10455,Residential,Supportive Living,Closed,0
2015,16890,"Samaritan Daytop Village, Inc.",52908,Freedom House SL 1,Bronx,201,315 Alexander Ave,Bronx,10454,Residential,Supportive Living,Closed,5
2015,16890,"Samaritan Daytop Village, Inc.",52909,Freedom House SL 2,Bronx,205,1851 Phelan Pl,Bronx,10453,Residential,Supportive Living,Closed,24
2015,16890,"Samaritan Daytop Village, Inc.",52916,"Samaritan Daytop Village, Inc  OP",Kings,305,338 Forbell St,Brooklyn,11208,Outpatient,Outpatient Clinic,Operational,51
2019,16890,"Samaritan Daytop Village, Inc.",52916,"Samaritan Daytop Village, Inc  OP",Kings,305,338 Forbell St,Brooklyn,11208,Outpatient,Outpatient Clinic,Operational,59
2019,16890,"Samaritan Daytop Village, Inc.",53119,"Samaritan Daytop Village, Inc. SRh 1",Queens,412,88‐83 Van Wyck Expy,Jamaica,11435,Residential,820 Stabil and Rehab,Operational,70
2010,18000,"Child Center of NY, Inc.",6308,Jamaica Family Center‐CD OP,Queens,412,115‐15 Sutphin Blvd,Jamaica,11434,Outpatient,Outpatient Clinic,Operational,93
2015,18000,"Child Center of NY, Inc.",6308,Jamaica Family Center‐CD OP,Queens,412,115‐15 Sutphin Blvd,Jamaica,11434,Outpatient,Outpatient Clinic,Operational,86
2019,18000,"Child Center of NY, Inc.",6308,Jamaica Family Center‐CD OP,Queens,412,115‐15 Sutphin Blvd,Jamaica,11434,Outpatient,Outpatient Clinic,Operational,183
2010,18000,"Child Center of NY, Inc.",51686,"Child Center of NY, Inc. OP",Queens,407,140‐15B Sanford Ave,Flushing,11355,Outpatient,Outpatient Clinic,Operational,70
2015,18000,"Child Center of NY, Inc.",51686,"Child Center of NY, Inc. OP",Queens,407,140‐15B Sanford Ave,Flushing,11355,Outpatient,Outpatient Clinic,Operational,47
2019,18000,"Child Center of NY, Inc.",51686,"Child Center of NY, Inc. OP",Queens,407,140‐15B Sanford Ave,Flushing,11355,Outpatient,Outpatient Clinic,Operational,93
2010,18040,Riverdale Mental Health Association,2016,Riverdale Mental Health Association OP,Bronx,208,5676 Riverdale Ave,Bronx,10471,Outpatient,Outpatient Clinic,Operational,43
2015,18040,Riverdale Mental Health Association,2016,Riverdale Mental Health Association OP,Bronx,208,5676 Riverdale Ave,Bronx,10471,Outpatient,Outpatient Clinic,Operational,31
2019,18040,Riverdale Mental Health Association,2016,Riverdale Mental Health Association OP,Bronx,208,5676 Riverdale Ave,Bronx,10471,Outpatient,Outpatient Clinic,Operational,30
2010,18130,"The Bridge, Inc.",7371,"The Bridge, Inc. OP",New York,107,248‐250 W 108th St,New York,10025,Outpatient,Outpatient Clinic,Operational,92
2015,18130,"The Bridge, Inc.",7371,"The Bridge, Inc. OP",New York,107,248‐250 W 108th St,New York,10025,Outpatient,Outpatient Clinic,Operational,36
2019,18130,"The Bridge, Inc.",7371,"The Bridge, Inc. OP",New York,107,248‐250 W 108th St,New York,10025,Outpatient,Outpatient Clinic,Operational,20
2015,18130,"The Bridge, Inc.",52639,"The Bridge, Inc. OP R",New York,107,248‐250 W 108th St,New York,10025,Outpatient,Outpatient Rehabilitation,Closed,45
2019,18130,"The Bridge, Inc.",52639,"The Bridge, Inc. OP R",New York,107,248‐250 W 108th St,New York,10025,Outpatient,Outpatient Rehabilitation,Closed,41
2010,18230,ICD International Center for Disabled,50329,ICD Addiction Recovery Services,New York,106,340 East 24th Street,New York,10010,Outpatient,Outpatient Clinic,Closed,72
2019,18270,Postgraduate Center for Mental Health,53437,Bronx Recovery Support Center OP,Bronx,205,1775 Grand Concourse,Bronx,10453,Outpatient,Outpatient Clinic,Operational,6
2019,19360,GMHC,52842,GMHC OP,New York,104,307 W 38th St,New York,10018,Outpatient,Outpatient Clinic,Closed,24
2010,19400,"Odyssey House, Inc.",957,"Odyssey House, Inc. IR",New York,103,309‐311 E 6th St,New York,10003,Residential,Intensive Residential,Operational,61
2015,19400,"Odyssey House, Inc.",957,"Odyssey House, Inc. IR",New York,103,309‐311 E 6th St,New York,10003,Residential,Intensive Residential,Operational,58
2019,19400,"Odyssey House, Inc.",957,"Odyssey House, Inc. IR",New York,103,309‐311 E 6th St,New York,10003,Residential,Intensive Residential,Operational,47
2010,19400,"Odyssey House, Inc.",1368,Odyssey Manor IR 1,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Closed,42
2015,19400,"Odyssey House, Inc.",1368,Odyssey Manor IR 1,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Closed,35
2019,19400,"Odyssey House, Inc.",1368,Odyssey Manor IR 1,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Closed,50
2010,19400,"Odyssey House, Inc.",6817,Odyssey Manor IR 2,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Operational,140
2015,19400,"Odyssey House, Inc.",6817,Odyssey Manor IR 2,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Operational,151
2019,19400,"Odyssey House, Inc.",6817,Odyssey Manor IR 2,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Operational,170
2010,19400,"Odyssey House, Inc.",7159,Odyssey‐Family Reentry‐CD Int Res Reh,Bronx,203,1322‐1328 Clinton Avenue,Bronx,10456,Residential,Intensive Residential,Closed,20
2010,19400,"Odyssey House, Inc.",7219,Odyssey‐ Family/Adults IR 3,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Closed,49
2015,19400,"Odyssey House, Inc.",7219,Odyssey‐ Family/Adults IR 3,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Closed,35
2010,19400,"Odyssey House, Inc.",7221,Odyssey House(Family) IR 4,New York,111,Wards Island,New York,10035,Residential,Intensive Residential,Closed,23
2015,19400,"Odyssey House, Inc.",7221,Odyssey House(Family) IR 4,New York,111,Wards Island,New York,10035,Residential,Intensive Residential,Closed,30
2010,19400,"Odyssey House, Inc.",7222,"Odyssey House, Inc.(Adult) IR 5",New York,111,Wards Island,New York,10035,Residential,Intensive Residential,Closed,83
2015,19400,"Odyssey House, Inc.",7222,"Odyssey House, Inc.(Adult) IR 5",New York,111,Wards Island,New York,10035,Residential,Intensive Residential,Closed,80
2010,19400,"Odyssey House, Inc.",7392,"Odyssey House, Inc. OP",Bronx,202,953 Southern Blvd,Bronx,10459,Outpatient,Outpatient Clinic,Operational,122
2015,19400,"Odyssey House, Inc.",7392,"Odyssey House, Inc. OP",Bronx,202,953 Southern Blvd,Bronx,10459,Outpatient,Outpatient Clinic,Operational,113
2019,19400,"Odyssey House, Inc.",7392,"Odyssey House, Inc. OP",Bronx,202,953 Southern Blvd,Bronx,10459,Outpatient,Outpatient Clinic,Operational,111
2010,19400,"Odyssey House, Inc.",52031,Odyssey House Eldercare Program IR 7,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Closed,76
2015,19400,"Odyssey House, Inc.",52031,Odyssey House Eldercare Program IR 7,New York,111,219‐233  E 121st St,New York,10035,Residential,Intensive Residential,Closed,79
2010,19400,"Odyssey House, Inc.",52056,Odyssey House IR 6,Bronx,202,1264 Lafayette Ave,Bronx,10474,Residential,Intensive Residential,Operational,14
2015,19400,"Odyssey House, Inc.",52056,Odyssey House IR 6,Bronx,202,1264 Lafayette Ave,Bronx,10474,Residential,Intensive Residential,Operational,13
2019,19400,"Odyssey House, Inc.",52056,Odyssey House IR 6,Bronx,202,1264 Lafayette Ave,Bronx,10474,Residential,Intensive Residential,Operational,15
2010,19400,"Odyssey House, Inc.",52184,"Odyssey House, Inc. Edgecomb SpOP‐Re",New York,112,611 Edgecombe Avenue,New York,10032,Outpatient,Specialized Services Outpt Rehab,Operational,93
2015,19400,"Odyssey House, Inc.",52184,"Odyssey House, Inc. Edgecomb SpOP‐Re",New York,112,611 Edgecombe Avenue,New York,10032,Outpatient,Specialized Services Outpt Rehab,Operational,68
2015,19400,"Odyssey House, Inc.",52659,"Odyssey House, Inc. CR",Bronx,203,1328 Clinton Ave,Bronx,10456,Residential,Community Residential,Operational,56
2019,19400,"Odyssey House, Inc.",52659,"Odyssey House, Inc. CR",Bronx,203,1328 Clinton Ave,Bronx,10456,Residential,Community Residential,Operational,53
2015,19400,"Odyssey House, Inc.",52848,George Rosenfeld Ctr for Recovery IR,New York,111,13 Hell Gate Circle,Ward's Island,10035,Residential,Intensive Residential,Closeout,85
2019,19400,"Odyssey House, Inc.",52848,George Rosenfeld Ctr for Recovery IR,New York,111,13 Hell Gate Circle,Ward's Island,10035,Residential,Intensive Residential,Closeout,96
2019,19400,"Odyssey House, Inc.",53066,George Rosenfeld Ctr for Recovery IR 1,New York,111,13 Hell Gate Circle,New York,10035,Residential,Intensive Residential,Closeout,72
2010,19430,Community Counseling/Mediation Service,7277,C.C.M.S. OP,Kings,308,810 Classon Ave,Brooklyn,11238,Outpatient,Outpatient Clinic,Operational,50
2015,19430,Community Counseling/Mediation Service,7277,C.C.M.S. OP,Kings,308,810 Classon Ave,Brooklyn,11238,Outpatient,Outpatient Clinic,Operational,52
2019,19430,Community Counseling/Mediation Service,7277,C.C.M.S. OP,Kings,308,810 Classon Ave,Brooklyn,11238,Outpatient,Outpatient Clinic,Operational,24
2010,19660,Reality House Inc.,52219,"Reality House, Inc. OP",Queens,401,8‐13 Astoria Blvd,Astoria,11102,Outpatient,Outpatient Clinic,Operational,36
2015,19660,Reality House Inc.,52219,"Reality House, Inc. OP",Queens,401,8‐13 Astoria Blvd,Astoria,11102,Outpatient,Outpatient Clinic,Operational,49
2019,19660,Reality House Inc.,52219,"Reality House, Inc. OP",Queens,401,8‐13 Astoria Blvd,Astoria,11102,Outpatient,Outpatient Clinic,Operational,60
2015,19660,Reality House Inc.,52642,Reality House Veterans CR,Queens,401,8‐13 Astoria Blvd,Astoria,11102,Residential,Community Residential,Operational,24
2019,19660,Reality House Inc.,52642,Reality House Veterans CR,Queens,401,8‐13 Astoria Blvd,Astoria,11102,Residential,Community Residential,Operational,30
2010,19900,"Project Hospitality, Inc.",51157,"Project Hospitality, Inc. OP",Richmond,501,14 Slosson Ter,Staten Island,10301,Outpatient,Outpatient Clinic,Operational,83
2015,19900,"Project Hospitality, Inc.",51157,"Project Hospitality, Inc. OP",Richmond,501,14 Slosson Ter,Staten Island,10301,Outpatient,Outpatient Clinic,Operational,64
2019,19900,"Project Hospitality, Inc.",51157,"Project Hospitality, Inc. OP",Richmond,501,14 Slosson Ter,Staten Island,10301,Outpatient,Outpatient Clinic,Operational,52
2015,19900,"Project Hospitality, Inc.",52684,PREP MMW,Richmond,501,75 Vanderbilt Ave,Staten Island,10304,Crisis,Medically Monitored Withdrawal,Closed,11
2019,19900,"Project Hospitality, Inc.",53232,PREP SRh,Richmond,501,75 Vanderbilt Ave,Staten Island,10304,Residential,820 Stabil and Rehab,Operational,19
2010,19920,Neighborhood Coalition for Shelter Inc,52103,Chance for Change OP,New York,108,921‐923 Madison Ave,New York,10021,Outpatient,Outpatient Clinic,Operational,28
2015,19920,Neighborhood Coalition for Shelter Inc,52103,Chance for Change OP,New York,108,921‐923 Madison Ave,New York,10021,Outpatient,Outpatient Clinic,Operational,8
2019,19920,Neighborhood Coalition for Shelter Inc,52103,Chance for Change OP,New York,108,921‐923 Madison Ave,New York,10021,Outpatient,Outpatient Clinic,Operational,24
2010,20490,Paul J. Cooper Ctr for Human Services,50328,Paul J. Cooper Center OP,Kings,303,510 Gates Ave,Brooklyn,11216,Outpatient,Outpatient Clinic,Closed,30
2015,20490,Paul J. Cooper Ctr for Human Services,50328,Paul J. Cooper Center OP,Kings,303,510 Gates Ave,Brooklyn,11216,Outpatient,Outpatient Clinic,Closed,35
